Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1779481167.8479314,0.1,0.0,0.0,0.0,0.0,0.2
1779481167.847943,0.1,0.0,0.0,0.0,0.0,0.2
1779481167.9479985,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.0479538,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.1479013,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.2480204,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.3480525,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.4480069,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.5480635,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.6479883,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.7480936,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.847929,0.1,0.0,0.0,0.0,0.0,0.2
1779481168.9482338,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.0480385,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.1479566,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.2479787,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.3480473,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.4479465,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.5481539,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.6480343,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.7479787,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.8480012,0.1,0.0,0.0,0.0,0.0,0.2
1779481169.9479697,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.0480094,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.1479208,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.248085,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.3481061,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.4480948,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.5481212,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.6476448,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.7480116,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.8480809,0.1,0.0,0.0,0.0,0.0,0.2
1779481170.9479978,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.0480735,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.1478956,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.247791,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.347874,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.4481914,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.5480254,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.6480827,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.7481399,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.8479989,0.1,0.0,0.0,0.0,0.0,0.2
1779481171.9479222,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.0479264,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.148078,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.2480853,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.3478563,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.448024,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.548053,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.6479943,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.7478209,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.8479,0.1,0.0,0.0,0.0,0.0,0.2
1779481172.9479876,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.048052,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.148074,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.2480357,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.3481114,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.4480057,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.547993,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.6480732,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.7483711,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.8478887,0.1,0.0,0.0,0.0,0.0,0.2
1779481173.9479516,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.0479693,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.1480365,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.2479844,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.3480031,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.4480417,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.547992,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.648117,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.7478824,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.8479679,0.1,0.0,0.0,0.0,0.0,0.2
1779481174.9479551,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.047998,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.1478872,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.2478936,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.3480349,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.447981,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.5480475,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.6480308,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.7479613,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.8478627,0.1,0.0,0.0,0.0,0.0,0.2
1779481175.9479988,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.0479882,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.1478636,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.2478197,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.3480165,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.448,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.5481079,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.6482074,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.7479672,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.8479877,0.1,0.0,0.0,0.0,0.0,0.2
1779481176.9481125,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.0479345,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.1480634,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.2479827,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.348007,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.4480479,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.547964,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.6479244,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.7481198,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.8480093,0.1,0.0,0.0,0.0,0.0,0.2
1779481177.947996,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.0480533,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.148084,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.2478006,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.3478749,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.4478638,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.5478795,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.6480834,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.7479527,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.8478158,0.1,0.0,0.0,0.0,0.0,0.2
1779481178.947977,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.0480022,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.1479392,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.2479186,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.3478591,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.4482036,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.5480328,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.6481645,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.74807,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.8480046,0.1,0.0,0.0,0.0,0.0,0.2
1779481179.94797,0.1,0.0,0.0,0.0,0.0,0.2
1779481180.0478466,0.1,0.0,0.0,0.0,0.0,0.2
1779481180.1479013,0.1,0.0,0.0,0.0,0.0,0.2
1779481180.2479568,0.1,0.0,0.0,0.0,0.0,0.2
1779481180.3478181,0.1,0.0,0.0,0.0,0.0,0.2
1779481180.4479764,0.1,0.0,0.0,0.0,0.0,0.2
