Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
1781049708.7124994,566348,1781049708,698123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.010737867094576359,0.016873791813850403,0.023009711876511574,-0.9387962818145752,0.32520392537117004,0.6626797318458557,0.0,0.03263789415359497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.450000762939453,-64.55999755859375,-69.94000244140625,0.0
1781049708.765186,566349,1781049708,732123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9387962818145752,0.32520392537117004,0.6626797318458557,0.0,-0.04511708766222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.450000762939453,-78.01000213623047,-69.94000244140625,0.0
1781049708.8040378,566350,1781049708,796123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9403302669525146,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.520000457763672,-78.01000213623047,-67.25,0.0
1781049708.8564398,566351,1781049708,830123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9387962818145752,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.760000228881836,-80.70000457763672,-67.25,0.0
1781049708.904538,566352,1781049708,896123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9403302669525146,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.450000762939453,-78.01000213623047,-69.94000244140625,0.0
1781049708.9577467,566353,1781049708,930123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.02454369328916073,-0.9387962818145752,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.760000228881836,-78.01000213623047,-72.6300048828125,0.0
1781049708.9956813,566354,1781049708,989123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9403302669525146,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.450000762939453,-78.01000213623047,-69.94000244140625,0.0
1781049709.047507,566355,1781049709,23123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9403302669525146,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.520000457763672,-80.70000457763672,-69.94000244140625,0.0
1781049709.0971668,566356,1781049709,85123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9387962818145752,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.450000762939453,-80.70000457763672,-69.94000244140625,0.0
1781049709.1491413,566357,1781049709,119123250,base_link,"['wheel_left_joint', 'wheel_right_joint', 'joint1', 'joint2', 'joint3', 'joint4', 'gripper']",0.009203885681927204,0.016873791813850403,0.023009711876511574,-0.9403302669525146,0.32520392537117004,0.6626797318458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.829999923706055,-78.01000213623047,-78.01000213623047,0.0
