Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
359.114,0.2,0.0,0.0,0.0,0.0,0.4
359.114,0.2,0.0,0.0,0.0,0.0,0.4
359.212,0.2,0.0,0.0,0.0,0.0,0.4
359.312,0.2,0.0,0.0,0.0,0.0,0.4
359.411,0.2,0.0,0.0,0.0,0.0,0.4
359.51,0.2,0.0,0.0,0.0,0.0,0.4
359.613,0.2,0.0,0.0,0.0,0.0,0.4
359.716,0.2,0.0,0.0,0.0,0.0,0.4
359.812,0.2,0.0,0.0,0.0,0.0,0.4
359.912,0.2,0.0,0.0,0.0,0.0,0.4
360.015,0.2,0.0,0.0,0.0,0.0,0.4
360.112,0.2,0.0,0.0,0.0,0.0,0.4
360.211,0.2,0.0,0.0,0.0,0.0,0.4
360.312,0.2,0.0,0.0,0.0,0.0,0.4
360.411,0.2,0.0,0.0,0.0,0.0,0.4
360.512,0.2,0.0,0.0,0.0,0.0,0.4
360.611,0.2,0.0,0.0,0.0,0.0,0.4
360.712,0.2,0.0,0.0,0.0,0.0,0.4
360.812,0.2,0.0,0.0,0.0,0.0,0.4
360.912,0.2,0.0,0.0,0.0,0.0,0.4
361.011,0.2,0.0,0.0,0.0,0.0,0.4
361.111,0.2,0.0,0.0,0.0,0.0,0.4
361.211,0.2,0.0,0.0,0.0,0.0,0.4
361.311,0.2,0.0,0.0,0.0,0.0,0.4
361.411,0.2,0.0,0.0,0.0,0.0,0.4
361.512,0.2,0.0,0.0,0.0,0.0,0.4
361.614,0.2,0.0,0.0,0.0,0.0,0.4
361.713,0.2,0.0,0.0,0.0,0.0,0.4
361.815,0.2,0.0,0.0,0.0,0.0,0.4
361.912,0.2,0.0,0.0,0.0,0.0,0.4
362.013,0.2,0.0,0.0,0.0,0.0,0.4
362.111,0.2,0.0,0.0,0.0,0.0,0.4
362.212,0.2,0.0,0.0,0.0,0.0,0.4
362.311,0.2,0.0,0.0,0.0,0.0,0.4
362.416,0.2,0.0,0.0,0.0,0.0,0.4
362.512,0.2,0.0,0.0,0.0,0.0,0.4
362.611,0.2,0.0,0.0,0.0,0.0,0.4
362.714,0.2,0.0,0.0,0.0,0.0,0.4
362.811,0.2,0.0,0.0,0.0,0.0,0.4
362.912,0.2,0.0,0.0,0.0,0.0,0.4
363.015,0.2,0.0,0.0,0.0,0.0,0.4
363.111,0.2,0.0,0.0,0.0,0.0,0.4
363.213,0.2,0.0,0.0,0.0,0.0,0.4
363.312,0.2,0.0,0.0,0.0,0.0,0.4
363.413,0.2,0.0,0.0,0.0,0.0,0.4
363.511,0.2,0.0,0.0,0.0,0.0,0.4
363.612,0.2,0.0,0.0,0.0,0.0,0.4
363.715,0.2,0.0,0.0,0.0,0.0,0.4
363.814,0.2,0.0,0.0,0.0,0.0,0.4
363.917,0.2,0.0,0.0,0.0,0.0,0.4
364.012,0.2,0.0,0.0,0.0,0.0,0.4
364.111,0.2,0.0,0.0,0.0,0.0,0.4
364.212,0.2,0.0,0.0,0.0,0.0,0.4
364.31,0.2,0.0,0.0,0.0,0.0,0.4
364.414,0.2,0.0,0.0,0.0,0.0,0.4
364.511,0.2,0.0,0.0,0.0,0.0,0.4
364.62,0.2,0.0,0.0,0.0,0.0,0.4
364.715,0.2,0.0,0.0,0.0,0.0,0.4
364.812,0.2,0.0,0.0,0.0,0.0,0.4
364.912,0.2,0.0,0.0,0.0,0.0,0.4
365.014,0.2,0.0,0.0,0.0,0.0,0.4
365.113,0.2,0.0,0.0,0.0,0.0,0.4
365.215,0.2,0.0,0.0,0.0,0.0,0.4
365.315,0.2,0.0,0.0,0.0,0.0,0.4
365.412,0.2,0.0,0.0,0.0,0.0,0.4
365.514,0.2,0.0,0.0,0.0,0.0,0.4
365.613,0.2,0.0,0.0,0.0,0.0,0.4
365.712,0.2,0.0,0.0,0.0,0.0,0.4
365.814,0.2,0.0,0.0,0.0,0.0,0.4
365.911,0.2,0.0,0.0,0.0,0.0,0.4
366.012,0.2,0.0,0.0,0.0,0.0,0.4
366.117,0.2,0.0,0.0,0.0,0.0,0.4
366.214,0.2,0.0,0.0,0.0,0.0,0.4
366.311,0.2,0.0,0.0,0.0,0.0,0.4
366.411,0.2,0.0,0.0,0.0,0.0,0.4
366.512,0.2,0.0,0.0,0.0,0.0,0.4
366.616,0.2,0.0,0.0,0.0,0.0,0.4
366.716,0.2,0.0,0.0,0.0,0.0,0.4
366.811,0.2,0.0,0.0,0.0,0.0,0.4
366.912,0.2,0.0,0.0,0.0,0.0,0.4
367.011,0.2,0.0,0.0,0.0,0.0,0.4
367.112,0.2,0.0,0.0,0.0,0.0,0.4
367.222,0.2,0.0,0.0,0.0,0.0,0.4
367.311,0.2,0.0,0.0,0.0,0.0,0.4
367.412,0.2,0.0,0.0,0.0,0.0,0.4
367.511,0.2,0.0,0.0,0.0,0.0,0.4
367.614,0.2,0.0,0.0,0.0,0.0,0.4
367.713,0.2,0.0,0.0,0.0,0.0,0.4
367.817,0.2,0.0,0.0,0.0,0.0,0.4
367.908,0.2,0.0,0.0,0.0,0.0,0.4
368.013,0.2,0.0,0.0,0.0,0.0,0.4
368.111,0.2,0.0,0.0,0.0,0.0,0.4
368.212,0.2,0.0,0.0,0.0,0.0,0.4
368.314,0.2,0.0,0.0,0.0,0.0,0.4
368.419,0.2,0.0,0.0,0.0,0.0,0.4
368.512,0.2,0.0,0.0,0.0,0.0,0.4
368.617,0.2,0.0,0.0,0.0,0.0,0.4
368.713,0.2,0.0,0.0,0.0,0.0,0.4
368.813,0.2,0.0,0.0,0.0,0.0,0.4
